Date,Price,Open,High,Low,Vol.,Change %
11/30/2015,31.476,31.109,31.476,31.035,1.28M,0.47%
12/1/2015,31.476,31.550,31.623,31.403,355.81K,0.00%
12/2/2015,31.329,31.623,31.844,31.329,984.00K,-0.47%
12/3/2015,31.476,31.329,31.550,31.256,567.97K,0.47%
12/4/2015,31.109,31.329,31.550,31.035,767.62K,-1.17%
12/7/2015,31.109,31.182,31.182,30.888,1.09M,0.00%
12/8/2015,31.182,30.962,31.329,30.741,1.06M,0.23%
12/9/2015,30.741,31.182,31.918,30.741,1.84M,-1.41%
12/10/2015,30.373,30.741,31.109,30.373,846.42K,-1.20%
12/11/2015,30.520,30.373,30.594,30.373,925.80K,0.48%
12/14/2015,30.373,30.520,30.594,30.226,835.09K,-0.48%
12/15/2015,30.520,30.300,30.667,30.300,511.86K,0.48%
12/16/2015,30.667,30.741,31.109,30.594,710.24K,0.48%
12/17/2015,30.815,30.888,31.109,30.741,782.74K,0.48%
12/18/2015,29.417,30.815,30.962,29.417,3.35M,-4.54%
12/21/2015,30.520,30.153,30.520,30.153,710.28K,3.75%
12/22/2015,30.594,30.520,30.741,30.447,498.18K,0.24%
12/23/2015,30.667,30.300,30.815,30.300,1.00M,0.24%
12/24/2015,30.888,30.815,30.962,30.667,913.83K,0.72%
12/25/2015,31.182,31.109,31.256,30.888,767.97K,0.95%
12/28/2015,31.991,31.182,32.138,31.182,2.03M,2.59%
12/29/2015,33.462,31.991,33.462,31.623,3.95M,4.60%
12/30/2015,33.830,33.168,33.830,32.359,3.86M,1.10%
12/31/2015,33.609,33.462,33.830,33.168,4.57M,-0.65%
1/4/2016,34.933,33.536,34.933,33.241,6.54M,3.94%
1/5/2016,34.933,34.565,35.080,34.418,3.37M,0.00%
1/6/2016,34.933,34.859,35.227,34.345,2.69M,0.00%
1/7/2016,35.301,34.418,35.448,34.197,3.88M,1.05%
1/8/2016,35.301,34.933,35.301,34.565,2.23M,0.00%
1/11/2016,35.521,35.301,36.110,35.006,2.16M,0.62%
1/12/2016,35.301,35.521,35.595,35.006,1.40M,-0.62%
1/13/2016,35.227,35.301,35.301,34.712,2.72M,-0.21%
1/14/2016,35.301,34.712,35.448,34.712,3.56M,0.21%
1/15/2016,34.933,35.374,35.374,34.859,1.27M,-1.04%
1/18/2016,34.933,34.418,35.006,33.094,3.42M,0.00%
1/19/2016,34.933,34.712,35.374,34.712,1.00M,0.00%
1/20/2016,34.859,34.639,35.301,34.639,2.13M,-0.21%
1/21/2016,35.154,35.080,35.301,34.786,2.99M,0.85%
1/22/2016,35.521,35.154,36.110,35.154,1.95M,1.04%
1/25/2016,35.521,35.668,35.668,35.301,2.67M,0.00%
1/26/2016,35.301,35.301,35.595,34.786,2.42M,-0.62%
1/27/2016,34.933,34.933,35.006,34.492,4.68M,-1.04%
1/28/2016,35.521,34.565,35.521,34.565,5.77M,1.68%
1/29/2016,35.006,35.448,35.448,34.712,3.03M,-1.45%
2/1/2016,34.565,34.712,35.227,34.565,1.54M,-1.26%
2/2/2016,34.565,34.345,34.712,34.345,1.38M,0.00%
2/3/2016,34.565,34.345,34.565,33.830,1.50M,0.00%
2/4/2016,34.565,34.565,34.933,34.565,549.41K,0.00%
2/5/2016,34.271,34.124,34.565,34.124,1.22M,-0.85%
2/15/2016,33.462,34.197,34.271,33.462,931.51K,-2.36%
2/16/2016,33.536,33.977,33.977,33.462,533.10K,0.22%
2/17/2016,33.462,34.050,34.050,33.462,352.84K,-0.22%
2/18/2016,33.830,33.830,33.977,33.609,809.25K,1.10%
2/19/2016,33.168,33.756,33.756,32.580,1.90M,-1.96%
2/22/2016,33.241,33.168,33.241,32.800,985.76K,0.22%
2/23/2016,33.536,33.241,34.050,33.241,569.18K,0.89%
2/24/2016,33.389,33.389,33.756,33.168,727.28K,-0.44%
2/25/2016,33.462,33.462,33.756,33.389,719.09K,0.22%
2/26/2016,33.094,33.536,33.683,32.874,1.68M,-1.10%
2/29/2016,32.432,33.094,33.094,32.432,352.57K,-2.00%
3/1/2016,32.432,32.653,32.800,32.065,1.30M,0.00%
3/2/2016,33.094,32.653,33.168,32.506,761.92K,2.04%
3/3/2016,33.389,33.241,33.462,33.094,668.25K,0.89%
3/4/2016,33.683,33.389,33.830,33.241,1.09M,0.88%
3/7/2016,33.683,33.683,34.197,33.462,758.06K,0.00%
3/8/2016,34.124,33.536,34.124,33.536,1.47M,1.31%
3/9/2016,34.197,34.197,34.492,34.197,1.53M,0.21%
3/10/2016,34.197,34.197,34.418,34.124,782.28K,0.00%
3/11/2016,33.389,34.197,34.197,33.389,761.96K,-2.36%
3/14/2016,33.389,33.168,33.462,33.094,471.33K,0.00%
3/15/2016,33.094,33.389,33.830,32.947,1.46M,-0.88%
3/16/2016,32.800,32.874,33.021,32.800,590.61K,-0.89%
3/17/2016,33.094,33.241,33.315,33.021,663.71K,0.90%
3/18/2016,32.432,33.094,33.168,32.432,7.41M,-2.00%
3/21/2016,33.241,32.874,33.536,32.874,1.41M,2.49%
3/22/2016,33.462,33.241,33.536,33.021,893.48K,0.66%
3/23/2016,33.389,33.094,33.536,32.800,2.20M,-0.22%
3/24/2016,33.168,33.389,33.462,33.094,693.55K,-0.66%
3/25/2016,33.683,33.094,33.830,33.094,1.71M,1.55%
3/28/2016,34.345,33.903,34.418,33.756,1.12M,1.97%
3/29/2016,34.418,34.565,34.859,34.271,2.02M,0.21%
3/30/2016,34.565,33.756,34.565,33.756,884.83K,0.43%
3/31/2016,34.712,34.124,35.006,34.124,1.90M,0.43%
4/1/2016,34.712,34.712,34.859,34.418,745.71K,0.00%
4/4/2016,34.639,34.786,34.786,34.418,478.24K,-0.21%
4/5/2016,34.639,34.639,34.786,34.197,440.26K,0.00%
4/6/2016,35.006,34.639,35.006,34.492,743.85K,1.06%
4/7/2016,34.712,35.006,35.080,34.639,393.96K,-0.84%
4/8/2016,34.933,34.712,35.006,34.492,816.23K,0.64%
4/11/2016,37.139,34.933,37.139,34.933,1.75M,6.31%
4/12/2016,38.242,38.242,38.610,37.507,1.57M,2.97%
4/13/2016,38.242,37.875,38.978,37.139,1.10M,0.00%
4/14/2016,38.610,37.875,40.081,37.875,1.46M,0.96%
4/15/2016,38.242,38.610,40.081,38.242,2.11M,-0.95%
4/19/2016,36.551,38.242,38.242,36.551,1.39M,-4.42%
4/20/2016,37.139,36.551,37.507,36.551,1.93M,1.61%
4/21/2016,37.875,37.875,38.610,37.139,1.63M,1.98%
4/22/2016,40.081,37.875,40.449,37.875,2.35M,5.82%
4/25/2016,38.610,40.816,41.184,38.610,1.91M,-3.67%
4/26/2016,39.713,38.610,40.081,38.610,985.15K,2.86%
4/27/2016,38.978,40.449,40.449,38.242,1.33M,-1.85%
4/28/2016,38.242,38.978,39.345,38.242,707.86K,-1.89%
4/29/2016,38.610,38.610,38.978,38.242,573.77K,0.96%
5/4/2016,37.507,37.875,38.610,37.507,1.03M,-2.86%
5/5/2016,37.875,37.875,38.978,37.875,561.82K,0.98%
5/6/2016,38.610,38.242,38.610,38.242,1.11M,1.94%
5/9/2016,38.242,38.978,38.978,38.242,1.07M,-0.95%
5/10/2016,38.242,38.242,38.242,37.507,949.89K,0.00%
5/11/2016,39.345,38.242,39.345,38.242,1.18M,2.88%
5/12/2016,39.345,39.713,40.081,39.345,637.90K,0.00%
5/13/2016,39.345,39.345,39.713,38.978,1.08M,0.00%
5/16/2016,40.449,39.345,40.816,38.978,1.68M,2.81%
5/17/2016,40.081,40.816,40.816,40.081,704.73K,-0.91%
5/18/2016,39.345,40.081,40.081,39.345,797.15K,-1.84%
5/19/2016,39.345,40.081,40.081,38.978,848.40K,0.00%
5/20/2016,37.875,39.345,39.713,37.875,2.11M,-3.74%
5/23/2016,38.242,38.242,38.242,37.139,1.92M,0.97%
5/24/2016,38.242,38.978,38.978,37.875,640.77K,0.00%
5/25/2016,38.242,38.242,38.610,37.875,385.67K,0.00%
5/26/2016,37.507,38.242,38.242,37.139,830.98K,-1.92%
5/27/2016,37.875,37.507,38.242,37.507,522.06K,0.98%
5/30/2016,39.345,38.242,39.713,38.242,1.47M,3.88%
5/31/2016,38.610,39.345,39.713,38.610,569.39K,-1.87%
6/1/2016,32.517,32.213,32.517,31.909,772.58K,-15.78%
6/2/2016,32.517,32.517,32.821,32.213,840.53K,0.00%
6/3/2016,32.821,32.517,32.821,32.213,568.30K,0.93%
6/6/2016,32.517,32.821,33.125,32.213,486.70K,-0.93%
6/7/2016,33.125,32.517,33.125,32.517,660.37K,1.87%
6/8/2016,33.125,33.125,34.036,32.821,1.75M,0.00%
6/9/2016,33.125,33.125,33.429,32.821,186.07K,0.00%
6/10/2016,32.821,33.125,33.429,32.821,280.74K,-0.92%
6/13/2016,31.909,32.517,32.517,31.909,1.04M,-2.78%
